,名称,演员,导演,类型,上架时间
0,哪吒之魔童降世,"
      饺子
    
      吕艳婷
    
      囧森瑟夫
    
      瀚墨
    
      陈浩
    
      饺子
    
      吕艳婷
    
      囧森瑟夫
    
      瀚墨
    
      陈浩
    
      绿绮
    
      张珈铭
    
      杨卫
    
      李南
    
      任俊鹏
    
      何禹祥
    
      杏林儿
    
      雨辰
    
      刘霖竺
    
      大海
    
      陶渊
    
      大卫·陈
    
      贾米森·普赖斯
    
      斯蒂芬妮·社
    
      Mike Pollock
    
      文森特·罗德里格兹三世
    
      Adam Sietz
    
      梅森·任
    
      饺子
    
      易巧
    
      魏芸芸
    
      王长田
    
      李晓萍
    
      杨宇
    
      林中伦
    
      易巧
    
      魏芸芸
    
      刘文章
    
      刘欣
    
      刘欣
    
      李言
    
      苏沂
    
      刘欣
    
      朱芸编
    
      朱芸编
    
      黄慧仪
    
      GAI周延
    
      石超群
    
      王皓科
    
      刘正
    
      吉姆·瑞吉尔
    
      瑞安·D·罗梅罗
    
      李天
    
      张阳冰
    
      王冲
    
      古川
    
      大海
    
      姜祉羽
    
      韩军生
    
      刘宛鑫
    
      徐忱
    
      李成颖
    
      朱芸编
    
      陈浩
    
      刘琼芳
    
      陈畅江
    
      张元强
    
      张涵雅
    
      张涵雅
    
      林千涵
    
      王竞
    
      刘正
    
      张俊
    
      张阳冰
    
      罗韬
    
      赵骏麒
    
      郎思波
    
      赵力
    
      李言
    ","
      饺子
    ", 动画  喜剧  奇幻 ,2019-07-26中国大陆上映
1,我不是药神,"
      文牧野
    
      徐峥
    
      周一围
    
      王传君
    
      谭卓
    
      文牧野
    
      徐峥
    
      周一围
    
      王传君
    
      谭卓
    
      章宇
    
      杨新鸣
    
      王砚辉
    
      贾晨飞
    
      王佳佳
    
      李乃文
    
      龚蓓苾
    
      苇青
    
      邓飞
    
      刘頔
    
      宁浩
    
      岳小军
    
      富冠铭
    
      巴拉特·巴蒂
    
      喜利图
    
      张海艳
    
      朱耕佑
    
      张子贤
    
      任洛敏
    
      杜子蓝
    
      刘兴雷
    
      杜家毅
    
      宁晓志
    
      马千壹
    
      石强
    
      甘昀宸
    
      何李宁
    
      陈翃
    
      肖龙
    
      Chenfei Jia
    
      韩家女
    
      钟伟
    
      文牧野
    
      王易冰
    
      刘瑞芳
    
      董平
    
      宋歌
    
      陈砺志
    
      吴宏亮
    
      樊路远
    
      杨硕
    
      讲武生
    
      郑志昊
    
      曾茂军
    
      杨伟东
    
      宁浩
    
      徐峥
    
      王易冰
    
      刘瑞芳
    
      张苗
    
      施雁
    
      刘明轶
    
      尹哲
    
      盛志民
    
      宋歌
    
      宁浩
    
      徐峥
    
      董平
    
      陈砺志
    
      樊路远
    
      李捷
    
      康利
    
      郑剑锋
    
      吴宏亮
    
      周健森
    
      项绍琨
    
      岳洋
    
      韩璐
    
      钱丹·阿拉 
    
      史岩
    
      张苗
    
      施雁
    
      王博学
    
      曹涌
    
      王博学
    
      王宇涵
    
      李淼
    
      毛伟良
    
      李同
    
      朱琳
    
      刘畅
    
      陈纯昆
    
      黄超
    
      黄超
    
      张岩
    
      舒巴姆·古普塔
    
      Gaurav Dev Kaushal
    
      李淼
    
      瑞安·D·罗梅罗
    
      富康
    
      张京
    
      富康
    
      史蒂夫·米勒
    
      刘旭
    
      刘瑞芬
    
      项绍琨
    
      岳洋
    
      周健森
    
      黄建新
    
      郑剑锋
    
      刘开珞
    
      邵云
    
      刘忠谨
    
      韩璐
    
      李捷
    
      王浚贺
    
      杨光光
    
      毛伟良
    
      黄超
    
      尚进
    
      尚巍
    
      张朋
    
      陈俞杉
    
      刘明轶
    
      韩叙
    
      李淼
    
      文亚康
    
      黄海
    
      钱丹·阿拉 
    
      罗杰·金
    
      朴相洙
    ","
      文牧野
    ", 剧情  喜剧 ,2018-07-05中国大陆上映
2,肖申克的救赎,"
      弗兰克·德拉邦特
    
      蒂姆·罗宾斯
    
      摩根·弗里曼
    
      鲍勃·冈顿
    
      威廉·桑德勒
    
      弗兰克·德拉邦特
    
      蒂姆·罗宾斯
    
      摩根·弗里曼
    
      鲍勃·冈顿
    
      威廉·桑德勒
    
      克兰西·布朗
    
      吉尔·贝罗斯
    
      马克·罗斯顿
    
      詹姆斯·惠特莫尔
    
      杰弗里·德曼
    
      拉里·布兰登伯格
    
      尼尔·吉恩托利
    
      布赖恩·利比
    
      大卫·普罗瓦尔
    
      乔·劳格诺
    
      朱迪·斯克勒拉
    
      保罗·麦克兰尼
    
      芮妮·布莱恩
    
      斯科特·曼
    
      约翰·霍顿
    
      戈登·格林
    
      阿方索·弗里曼
    
      V·J·福斯特
    
      约翰·萨默斯
    
      弗兰克·梅德拉诺
    
      马克·迈尔斯
    
      阿兰·凯斯勒
    
      摩根·伦德
    
      康奈尔·华莱士
    
      加里·李·戴维斯
    
      尼尔·萨默斯
    
      耐德·巴拉米
    
      乔·佩科拉罗
    
      小哈罗德·科普
    
      布赖恩·戴拉特
    
      唐·麦克马纳斯
    
      唐纳德·津恩
    
      多萝西·希尔沃
    
      罗伯特·海利
    
      达纳·斯奈德
    
      John D. Craig
    
      肯·马吉
    
      Eugene C. DePasquale
    
      比尔 柏兰德
    
      罗恩·纽厄尔
    
      约翰·伍德沃德
    
      查克·布劳彻勒
    
      迪翁·安德森
    
      克莱尔·史莱姆
    
      James Kisicki
    
      詹姆斯·巴伯森
    
      罗恩·托马斯
    
      查理·卡恩斯
    
      Rob Reider
    
      布莱恩·布罗菲
    
      保罗·肯尼迪
    
      Brad Spencer
    
      丹尼斯·贝克
    
      弗雷德·克柏森
    
      丽塔·海华斯
    
      理查德·杜恩
    
      Michael Lightsey
    
      加里·琼斯
    
      阿隆佐·F·琼斯
    
      克里斯·佩吉
    
      塞尔吉奥·加藤
    
      约瑟夫·劳格诺
    
      威廉姆·赛德勒
    
      杰弗瑞·德穆恩
    
      保罗·迈克格莱恩
    
      Robert Haley
    
      Paul Kennedy
    
      Neil Riddaway
    
      Shane Grove
    
      加里·琼斯
    
      David Hecht
    
      Jodiviah Stepp
    
      Mark A. Strain
    
      斯蒂芬·金
    
      弗兰克·德拉邦特
    
      丽兹·格洛策
    
      大卫·莱斯特
    
      妮基·马文
    
      托马斯·纽曼
    
      罗杰·狄金斯
    
      罗杰·狄金斯
    
      理查德·弗朗西斯-布鲁斯
    
      Peter Landsdown Smith
    
      迈克尔·塞尔顿
    
      泰伦斯·马什
    
      理查德·弗朗西斯-布鲁斯
    
      德博拉·阿奎拉
    
      汤姆·莫尔加
    
      本·斯科特
    
      托马斯·纽曼
    
      托马斯·纽曼
    
      比尔·伯恩斯坦
    
      Thomas Pasatieri
    
      丹尼斯·S·桑兹
    
      Dan Goldwasser
    
      James Thatcher
    
      Ian Underwood
    
      Michael Greenwood
    
      Thomas Schellenberg
    
      Kelley A. Hankins
    
      Sebastian Milito
    
      Lee Lee Baird
    
      Isidoro Raponi
    
      杰西·约翰逊
    
      约翰·伍德沃德
    
      泰伦斯·马什
    
      Peter Landsdown Smith
    
      伊丽莎白·麦克布莱德
    
      蒙蒂·韦斯特摩尔
    
      凯文·黑尼
    
      大卫·莱斯特
    
      凯文·黑尼
    
      蒙蒂·韦斯特摩尔
    
      汤姆·莫尔加
    
      本·斯科特
    
      弗雷德·克柏森
    
      梅利莎·泰勒
    
      布莱恩·亚当斯
    
      Petra Bach
    
      Kevin Bartnof
    
      Bruce Bell
    
      威利·D·伯顿
    
      Zack Davis
    
      迈克尔·赫尔比克
    
      艾伦·休尔
    
      Dale Johnston
    
      Larry Lester
    
      罗伯特·J·利特
    
      威廉·L·曼格
    
      艾略特·泰森
    
      Robert Ulrich
    
      Vanessa Theme Ament
    
      Jim Emswiller
    
      John Roesch
    
      John Soukup
    
      Carolyn Tapp
    
      斯蒂芬·金
    
      丹尼斯·贝克
    
      斯蒂芬·金
    
      Eugene C. DePasquale
    
      朱莉·维斯
    
      Brent Scarpo
    
      Linda Weaver
    
      James J. Burke
    
      泰伦斯·马什
    
      德博拉·阿奎拉
    
      Brent Scarpo
    
      朱莉·维斯
    
      Linda Weaver
    
      Sioux Richards
    
      杰西·约翰逊
    
      Thomas Schellenberg
    
      约翰·伍德沃德
    
      Michael Greenwood
    
      大卫·莱斯特
    
      伊丽莎白·麦克布莱德
    
      迈克尔·塞尔顿
    
      罗杰·狄金斯
    
      托马斯·纽曼
    
      汤姆·莫尔加
    
      本·斯科特
    
      弗雷德·克柏森
    
      James J. Burke
    
      Eugene C. DePasquale
    
      梅利莎·泰勒
    
      汤姆·莫尔加
    
      本·斯科特
    
      Sioux Richards
    
      比尔·伯恩斯坦
    
      Lee Lee Baird
    
      Robert C. Barnett
    
      大卫·莱斯利·约翰逊-麦戈德里克
    
      Richard Brooks Burton
    
      Thomas Pasatieri
    
      David Orr
    
      丹尼斯·S·桑兹
    
      Dan Goldwasser
    
      Kelley A. Hankins
    
      杰西·约翰逊
    
      James Thatcher
    
      Sebastian Milito
    
      Isidoro Raponi
    
      Robert 'Bobby Z' Zajonc
    
      约翰·艾尔文
    
      德鲁·斯特鲁赞
    ","
      弗兰克·德拉邦特
    ", 剧情  犯罪 ,1994-09-13美国上映
3,海上钢琴师,"
      朱塞佩·托纳多雷
    
      蒂姆·罗斯
    
      比尔·努恩 
    
      克兰伦斯·威廉姆斯三世
    
      普路特·泰勒·文斯
    
      朱塞佩·托纳多雷
    
      蒂姆·罗斯
    
      比尔·努恩 
    
      克兰伦斯·威廉姆斯三世
    
      普路特·泰勒·文斯
    
      梅兰尼·蒂埃里
    
      加布里埃莱·拉维亚
    
      皮特·沃恩
    
      尼尔·奥布赖恩
    
      阿尔贝托·巴斯克斯
    
      尼古拉·迪·平托
    
      Julien Lovett
    
      安吉洛·迪洛雷塔
    
      Pierluigi Coppola
    
      阿妮妲·扎格利亚
    
      Paul Richard Wood
    
      希思科特·威廉姆斯
    
      Adriano Wajskol
    
      Beniamino Vitale
    
      Ivan Truol Troncoso
    
      Michael Supnick
    
      布莱恩·普林格
    
      Riccardo Pellegrino
    
      Stefano Pagin
    
      Bernard Padden
    
      Noriko Aida
    
      路易斯·莫尔特尼
    
      Adrian McCourt
    
      Masa Mbatha Opasha
    
      Michael Koroukin
    
      Emanuele Gullotto
    
      Piero Gimondo
    
      Eamon Geoghegan
    
      伊斯顿·盖奇
    
      Andrew Dunford
    
      Harry Ditson
    
      Agostino Di Giorgio
    
      Katy Monique Cuom
    
      西德尼·科尔
    
      Norman Chancer
    
      科里·巴克
    
      John Armstead
    
      Vernon Nurse
    
      费米·依鲁福祖
    
      Leonid Zaslavski
    
      Luigi De Luca
    
      Femi Elufowojo
    
      Nigel Fan
    
      凯文·麦克纳利
    
      Roger Monk
    
      曲敬国
    
      沙拉·鲁宾
    
      吉达·布塔
    
      斯蒂法诺·佩格尼
    
      安杰洛·迪·洛蕾塔
    
      Gianluigi Molteni
    
      亚利桑德罗·巴里克
    
      朱塞佩·托纳多雷
    
      马尔科·西蒙兹
    
      劳拉·法托里
    
      Francesco Tornatore
    
      Laura Susanne Ruedeberg
    
      拉乔斯·科泰
    
      拉乔斯·科泰
    
      弗朗西斯科·弗里格里
    
      马西莫·夸各里安 
    
      恩尼奥·莫里康内
    
      恩尼奥·莫里康内
    
      Fausto Anzelmo
    
      吉达·布塔
    
      Angelo Giovagnoli
    
      安德烈·莫里康内
    
      Gianni Oddi
    
      Fabio Venturi
    
      丹佛·比蒂
    
      因蒂·卡博尼
    
      Davide Cincis
    
      Fabrezio Sergenti Castellani
    
      弗朗西斯科·弗里格里
    
      Maurizio Millenotti Maurizio Millenotti
    
      路易吉·洛切蒂
    
      阿尔多·锡格纳蒂
    
      雷纳托·弗朗索拉
    
      文森佐·阿马托
    
      David Bush
    
      菲尔·艾特菲尔德
    
      Peter 'Beak' Cvijanovic
    
      托马斯·坦嫩伯格
    
      Solo Avital
    
      Simon Carr
    
      派迪·伊森
    
      Armando Lombardo
    
      Axel O'Mill
    
      Guido Pappadá
    
      Marios Theodosi
    
      皮特·汉森
    
      Alessandro Saponi
    
      理查德·贝格斯
    
      Hugh Waddell
    
      沃尔特·维尔特罗尼
    
      Massimo Casseriani
    
      阿德里亚诺·吉安尼尼
    
      恩里克·卢西堤
    
      Marco Sacerdoti
    
      杰里米·齐默尔曼
    
      Valerie McCaffrey
    
      沙拉·鲁宾
    
      乔·亚当斯
    
      Fabrezio Sergenti Castellani
    
      布鲁诺·切萨里
    
      恩尼奥·莫里康内
    
      Giorgio Antonini
    
      Stefano Maria Mioni
    
      Alessandro Novelli
    
      Renato Agostini
    
      Stefano Maria Mioni
    
      Franco Ragusa
    
      Fabio Traversari
    
      Sergio Ballo
    
      Alessandro Lai
    
      Alfonsina Lettieri
    
      Sergio Ballo
    
      Alessandro Lai
    
      Fausto Anzelmo
    
      Alfonsina Lettieri
    
      Giacomo Caló Carducci
    
      Fabian Marquez
    
      Angelo Giovagnoli
    
      安德烈·莫里康内
    
      Gianni Oddi
    
      Nadya Cazan
    
      Biagio Fersini
    
      Paolo Verrucci
    
      Fabio Venturi
    
      拉法埃拉·乔凡内蒂
    
      Alessandro Fiorito
    
      Giuseppe Pelli
    
      Domenico Sica
    
      伊林·麦瑟尔
    
      Prescott Niles
    
      Erik Paoletti
    
      Michela Prodan
    
      Silvia Ranfagni
    
      Amedeo Tommasi
    
      Nata More
    
      Pietro Notarianni
    ","
      朱塞佩·托纳多雷
    ", 剧情  爱情  音乐 ,2019-11-15中国大陆上映
4,绿皮书,"
      彼得·法雷里
    
      维果·莫腾森
    
      马赫沙拉·阿里
    
      琳达·卡德里尼
    
      塞巴斯蒂安·马尼斯科
    
      彼得·法雷里
    
      维果·莫腾森
    
      马赫沙拉·阿里
    
      琳达·卡德里尼
    
      塞巴斯蒂安·马尼斯科
    
      迪米特·D·马里诺夫
    
      迈克·哈顿
    
      P·J·伯恩
    
      乔·柯蒂斯
    
      玛姬·尼克松
    
      冯·刘易斯
    
      乔恩·索特兰
    
      唐·斯达克
    
      安东尼·曼加诺
    
      保罗·斯隆
    
      珍娜·劳伦索
    
      肯尼斯·以色列
    
      伊克博·塞巴
    
      尼克·瓦莱隆加
    
      大卫·安
    
      迈克·切罗内
    
      杰拉尔丁·辛格
    
      马丁·巴特斯·布拉德福德
    
      格拉伦·布莱恩特·班克斯
    
      Tom Virtue
    
      沙恩·帕特洛
    
      丹尼斯·W·霍尔
    
      吉姆·克洛克
    
      戴恩·罗兹
    
      布赖恩·斯特帕尼克
    
      乔恩·迈克尔·戴维斯
    
      布莱恩·海耶斯·库瑞
    
      Tonya Maldonado
    
      加文·莱尔·弗雷
    
      奎恩·达菲
    
      哈里森·斯通
    
      比利·布里德
    
      莱斯利·卡斯泰
    
      克雷格·迪弗朗西亚
    
      托尼·查普曼·斯蒂尔
    
      伊桑·艾哈特
    
      詹姆斯·W·埃弗莫尔
    
      Frank Vallelonga
    
      Jim Klock
    
      丹尼尔
    
      Joseph Cortese
    
      Johnny Williams
    
      Montrel Miller
    
      瑞奇·缪斯
    
      胡安·贾斯帕
    
      Suehyla El-Attar
    
      尼克·维勒欧嘉
    
      Dimiter Marinov
    
      辛西亚·勒布朗
    
      埃尔顿·勒布朗
    
      Jeffrey Klemmer
    
      Brett Beoubay
    
      史蒂夫·基什
    
      John Frederick
    
      David Simpson
    
      Ron Flagge
    
      Ted Huckabee
    
      Sam Malone
    
      David Kallaway
    
      Brian Distance
    
      Von Lewis
    
      Don DiPetta
    
      Sharon Landry
    
      Peter Gabb
    
      Ninja N. Devoe
    
      尼克·瓦莱隆加
    
      布莱恩·海耶斯·库瑞
    
      彼得·法雷里
    
      Tom Virtue
    
      克里斯·鲍尔斯
    
      彼得·法雷里
    
      布莱恩·海耶斯·库瑞
    
      吉姆·伯克
    
      查尔斯·B·韦斯勒
    
      尼克·瓦莱隆加
    
      Jonathan King
    
      詹姆斯·B·罗杰斯
    
      杰夫·斯科尔
    
      肖恩·波特
    
      肖恩·波特
    
      Scott Plauche
    
      海伦娜·福尔摩斯
    
      帕特里克·J·多恩·维托
    
      Win Riley
    
      克里斯·鲍尔斯
    
      Kevin Axt
    
      Charlie Bisharat
    
      克里斯·鲍尔斯
    
      陈雪燃
    
      Stefan Karrer
    
      Fabrizio Mancinelli
    
      艾兰·梅耶尔森
    
      露西娅·米格莱丽
    
      彼得·罗特
    
      Alan Breton
    
      乔什·克劳斯纳
    
      詹姆斯·B·罗杰斯
    
      Andrew Shepherd
    
      Paul Uddo
    
      Tim Galvin
    
      贝奇·海曼
    
      Lawrence Davis
    
      Tarra D. Day
    
      Sarit Klein
    
      乔迪·谢弗
    
      Oscar Gale
    
      Jennifer Jane
    
      Ashley Treadaway
    
      Heather Arthur
    
      雷·麦金太尔
    
      David Ridlen
    
      苏珊·佐曼
    
      Laura R. Harris
    
      安德鲁·克里斯托法罗
    
      托尼·兰姆伯蒂
    
      Martin Lopez
    
      莎拉·莫奈特
    
      Richard Schexnayder
    
      David Stanke
    
      贝基·沙利文
    
      Drew Webster
    
      中西良太
    
      Kevin Axt
    
      Danger Mouse
    
      Gavin De Becker
    
      Joshua Anderson
    
      Michael Applebaum
    
      Nathan Borck
    
      Bryan Freed
    
      Declan Ryan
    
      杰里米·桑德
    
      Joe Sökmen
    
      Jim Wayer
    
      Jordan Whaley
    
      Thomas Sullivan
    
      Nicole Garcea
    
      John H. Brister
    
      克里斯·鲍尔斯
    
      奥克塔维亚·斯宾瑟
    
      约翰·斯洛斯
    
      Kevin Axt
    
      Danger Mouse
    
      比欧·霍顿
    
      Gavin De Becker
    
      Nicole Garcea
    
      克里斯·鲍尔斯
    
      陈雪燃
    
      Valerie Ryan
    
      Stefan Karrer
    
      Fabrizio Mancinelli
    
      Win Riley
    
      艾兰·梅耶尔森
    
      彼得·罗特
    
      Heather Arthur
    
      Jonathan Arthur
    
      Kenny Bartram
    
      杰夫·布洛克顿
    
      克里斯·卡内尔
    
      Tierre Turner
    
      Eddie Yansick
    
      埃尔顿·勒布朗
    
      Nathan Borck
    
      Heather Arthur
    
      Jonathan Arthur
    
      Edward Joubert
    
      Kenny Bartram
    
      杰夫·布洛克顿
    
      克里斯·卡内尔
    
      Tierre Turner
    
      Eddie Yansick
    
      埃尔顿·勒布朗
    
      Isaac Fenter
    
      Dan Moore
    
      Nicole Garcea
    
      Valerie Ryan
    
      黄海
    
      克里斯·鲍尔斯
    
      Stacey England
    
      比欧·霍顿
    
      Aleigh Lewis
    
      陈雪燃
    
      Walter Volpatto
    
      杰夫·布洛克顿
    
      Isaac Fenter
    
      克里斯·卡内尔
    
      Nathan Collins
    
      Stefan Karrer
    
      Fabrizio Mancinelli
    
      Alison J. Forest
    
      艾兰·梅耶尔森
    
      Jorin Ostroska
    
      Dan Moore
    
      彼得·罗特
    
      Vicki V. Johnson
    
      Michelle Nicolette Kowalski
    
      Troy James Miller
    
      杰里米·桑德
    
      Michael Toledo
    
      Matthew Rhode
    ","
      彼得·法雷里
    ", 剧情  喜剧  传记 ,2019-03-01中国大陆上映
5,小偷家族,"
      是枝裕和
    
      中川雅也
    
      安藤樱
    
      松冈茉优
    
      池松壮亮
    
      是枝裕和
    
      中川雅也
    
      安藤樱
    
      松冈茉优
    
      池松壮亮
    
      城桧吏
    
      绪形直人
    
      森口瑶子
    
      山田裕贵
    
      片山萌美
    
      柄本明
    
      高良健吾
    
      池胁千鹤
    
      树木希林
    
      佐佐木美结
    
      郑凯誉
    
      足立智充
    
      莳田彩珠
    
      瑛莲
    
      每熊克哉
    
      沟口奈菜
    
      清水一彰
    
      友咲圆
    
      堀春菜
    
      松浦慎一郎
    
      森本のぶ
    
      Shinsuke Kasai
    
      Hideki Nakano
    
      伊藤克信
    
      Yoshimi Tachi
    
      黑田大辅
    
      松冈依都美
    
      井上肇
    
      安藤轮子
    
      桥本真实
    
      五头岳夫
    
      是枝裕和
    
      石原隆
    
      近藤龙人
    
      近藤龙人
    
      三松惠子
    
      是枝裕和
    
      细野晴臣
    
      细野晴臣
    
      三松惠子
    
      黑泽和子
    
      Akihiko Okase
    
      细野晴臣
    
      是枝裕和
    
      黄海
    ","
      是枝裕和
    ", 剧情  犯罪 ,2018-08-03中国大陆上映
6,美丽人生,"
      罗伯托·贝尼尼
    
      罗伯托·贝尼尼
    
      朱斯蒂诺·杜拉诺
    
      赛尔乔·比尼·布斯特里克
    
      霍斯特·布赫霍尔茨
    
      罗伯托·贝尼尼
    
      罗伯托·贝尼尼
    
      朱斯蒂诺·杜拉诺
    
      赛尔乔·比尼·布斯特里克
    
      霍斯特·布赫霍尔茨
    
      利迪娅·阿方西
    
      朱利亚娜·洛约迪切
    
      亚美利哥·丰塔尼
    
      拉法埃拉·莱博罗尼
    
      克劳迪奥·阿方西
    
      于尔根·博恩
    
      维蕾娜·布拉蒂
    
      罗伯特·卡梅罗
    
      恩尼奥·孔萨尔维
    
      吉安卡尔洛·科森蒂诺
    
      亚伦克·雷格
    
      Alfiero Falomi
    
      Daniela Fedtke
    
      Antonio Fommei
    
      Stefano Frangipani
    
      Ernst Frowein Holger
    
      Alessandra Grassi
    
      Hannes Helmann
    
      Wolfgang Hillinger
    
      Margareta Lucia Krauss
    
      Patrizia Lazzarini
    
      Maria Letizia
    
      Concetta Lombardo
    
      Maria Rita Macellari
    
      Carlotta Mangione
    
      Francesca Messinese
    
      Inger Lise Middelthon
    
      Andrea Nardi
    
      Günther Pfanzelter
    
      Cristiana Porchiella
    
      吉娜·诺维勒
    
      Laura Rudeberg
    
      Massimo Salvianti
    
      James Schindler
    
      Andrea Tidona
    
      迪尔克·范登贝格
    
      Giovanna Villa
    
      Roberto Dell'Acqua
    
      Katia Crispino
    
      奥梅罗·安东努蒂
    
      尼可莱塔·布拉斯基
    
      沈晓谦
    
      乔治·坎塔里尼
    
      张欣
    
      玛丽萨·帕雷德斯
    
      彼得·德·席尔瓦
    
      弗朗西斯·古佐
    
      吉尔·巴罗尼
    
      马西莫·比安奇
    
      阿伦·克雷格
    
      汉尼斯·赫尔曼
    
      弗兰科·梅斯科利尼
    
      安东尼奥·普雷斯特
    
      理查德·塞梅尔
    
      李靖飞
    
      Laura Susanne Ruedeberg
    
      James Falzone
    
      Daniela Fedke
    
      温琴佐·切拉米
    
      罗伯托·贝尼尼
    
      吉安路易吉·布拉斯基
    
      Mario Cotone
    
      约翰·M·戴维斯
    
      艾尔达·法瑞
    
      Agnès Mentre
    
      John Rogers
    
      托尼诺·德里·戈里
    
      托尼诺·德里·戈里
    
      达尼洛·多纳蒂
    
      西蒙娜·帕吉
    
      尼古拉·皮奥瓦尼
    
      尼古拉·皮奥瓦尼
    
      Pasquale Filastò
    
      Angelo Giovagnoli
    
      Fabio Venturi
    
      Gianni Arduini
    
      Daniele Cama
    
      丹·埃德尔斯坦
    
      Giovanni Marino
    
      Luigi Spoletini
    
      达尼洛·多纳蒂
    
      达尼洛·多纳蒂
    
      费德里科·劳伦蒂
    
      恩里科·雅科波尼
    
      Louis Cerborino
    
      Claudio Chiossi
    
      丹·埃德尔斯坦
    
      汤姆·弗莱施曼
    
      Dan Korintus
    
      James Marchione
    
      Silvia Moraes
    
      Tullio Morganti
    
      Branka Mrkic
    
      Harry Peck Bolles
    
      Jacob Ribicoff
    
      Federico Savina
    
      Demofilo Fidani
    
      Mariangela Gualtieri
    
      L. Picciotto Fargion
    
      Schlomo Venezia
    
      Marco Cuzzupoli
    
      沙拉·鲁宾
    
      Savannah Haske
    
      John Rogers
    
      尼古拉·皮奥瓦尼
    
      Alessandra Torella
    
      Pasquale Filastò
    
      Angelo Giovagnoli
    
      艾里亚·波雷利
    
      Fabio Venturi
    
      马里奥·切奇·戈里
    
      Alessandra Torella
    
      维托里奥·切奇·戈里
    
      毛里齐奥·萨巴蒂尼
    
      Leda Lojodice
    
      Lilene Mansell
    
      Gianluca Lazzaroni
    
      Paila Pavese
    ","
      罗伯托·贝尼尼
    ", 战争  剧情  爱情 ,2020-01-03中国大陆上映
7,霸王别姬,"
      陈凯歌
    
      张国荣
    
      张丰毅
    
      巩俐
    
      吕齐
    
      陈凯歌
    
      张国荣
    
      张丰毅
    
      巩俐
    
      吕齐
    
      英达
    
      葛优
    
      雷汉
    
      童弟
    
      尹治
    
      马明威
    
      赵海龙
    
      费振翔
    
      李丹
    
      杨永超
    
      黄斐
    
      蒋雯丽
    
      智一桐
    
      李春
    
      吴大维
    
      黄磊
    
      宋小川
    
      张进战
    
      关之琳
    
      毛舜筠
    
      吴君如
    
      黄百鸣
    
      吴孟达
    
      卢敏仪
    
      黄光亮
    
      许晴
    
      岳华
    
      沈慧芬
    
      冯远征
    
      杨立新
    
      徐杰
    
      方征
    
      周璞
    
      隋永清
    
      吕奇
    
      李碧华
    
      Bik-Wa Lei
    
      芦苇
    
      徐枫
    
      徐彬
    
      张霞
    
      唐纳德·蓝瓦德
    
      徐杰
    
      才汝彬
    
      高秀兰
    
      成志谷
    
      顾长卫
    
      纪建民
    
      亢晓天
    
      顾长卫
    
      陈怀皑
    
      霍廷霄
    
      杨占家
    
      杨予和
    
      陶经
    
      裴小南
    
      李宗盛
    
      赵季平
    
      赵季平
    
      金平
    
      白玉
    
      张金庭
    
      张进战
    
      陈怀皑
    
      杨予和
    
      杨占家
    
      陈昌敏
    
      陈长敏
    
      姜锦明
    
      范青山
    
      宋小川
    
      陶经
    
      张先春
    
      吕荫培
    
      赵季平
    
      孔劲蕾
    
      舒琪
    
      哈维·韦恩斯坦
    ","
      陈凯歌
    ", 剧情  爱情 ,1993-07-26中国大陆上映
