区域,小区,总价,房型,面积,单价,朝向,楼层位置,装修情况,建筑时间,是否有电梯,产权类型,挂牌时间
思明,新景海韵园,1680.0,9室2厅,286.92平米,58553,南,高楼层/共16层,暂无数据/简装,2005年建/板楼 ,有,非共有 ,2021年11月29日 
思明,福津大街208-226号,450.0,2室2厅,73.06平米,61594,南北,高楼层/共9层,暂无数据/简装,2000年建/板塔结合 ,无,非共有 ,2021年11月29日 
思明,前埔南小区二区,375.0,2室1厅,71.28平米,52610,南北,高楼层/共6层,平层/简装,2000年建/板楼 ,无,非共有 ,2021年11月29日 
思明,阳台山路,550.0,3室1厅,72.03平米,76358,南北,低楼层/共4层,平层/简装,暂无数据 ,无,非共有 ,2021年11月29日 
思明,皓晖花园,1100.0,3室2厅,134.2平米,81968,南北,低楼层/共12层,暂无数据/精装,2004年建/板塔结合 ,有,共有 ,2021年11月29日 
思明,领秀城,1498.0,3室1厅,175.33平米,85439,南北,高楼层/共31层,平层/精装,2009年建/板楼 ,有,非共有 ,2021年11月29日 
思明,明发国际新城,596.0,3室2厅,120.12平米,49618,东南,低楼层/共12层,暂无数据/精装,2001年建/塔楼 ,有,非共有 ,2021年11月29日 
思明,厦禾路,405.0,3室1厅,62.41平米,64894,南北,低楼层/共7层,平层/简装,1994年建/板楼 ,无,共有 ,2021年11月29日 
思明,益辉花园,355.0,2室2厅,70.37平米,50448,南北,中楼层/共7层,暂无数据/精装,2001年建/板塔结合 ,无,非共有 ,2021年11月29日 
思明,文塔路,368.0,2室1厅,43.22平米,85146,南北,高楼层/共5层,暂无数据/简装,1983年建/板楼 ,无,非共有 ,2021年11月29日 
思明,嘉益大厦,995.0,4室2厅,157.79平米,63059,南北,高楼层/共31层,暂无数据/简装,2005年建/塔楼 ,有,共有 ,2021年11月29日 
思明,怡富花园东区,690.0,3室1厅,138.24平米,49914,南北,中楼层/共11层,平层/精装,2005年建/板楼 ,有,非共有 ,2021年11月29日 
