户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
3室1厅,低楼层/共37层,80,暂无数据/简装,72.0,花果园A北区,云岩区,东南,有,2021年12月19日 ,普通住宅 ,9000
1室1厅,高楼层/共30层,50,暂无数据/毛坯,50.0,中天未来方舟D3组团,云岩区,南,有,2021年12月19日 ,普通住宅 ,10000
4室2厅,中楼层/共18层,150,暂无数据/其他,112.0,星宸国际,云岩区,东南,有,2021年12月19日 ,普通住宅 ,7467
2室1厅,低楼层/共9层,58.25,暂无数据/简装,36.0,栖霞小区,云岩区,东南,无,2021年12月19日 ,普通住宅 ,6181
2室2厅,高楼层/共8层,93.63,暂无数据/其他,82.0,电信小区,云岩区,东东南,无,2021年12月18日 ,普通住宅 ,8758
3室2厅,低楼层/共7层,91.46,暂无数据/其他,75.0,东山路42号,云岩区,南,无,2021年12月18日 ,普通住宅 ,8201
2室1厅,中楼层/共36层,51.86,暂无数据/精装,35.0,中天甜蜜小镇2组团,云岩区,南,有,2021年12月18日 ,普通住宅 ,6749
3室2厅,中楼层/共48层,85.03,暂无数据/其他,95.0,中国普天中央国际,云岩区,南,有,2021年12月18日 ,普通住宅 ,11173
2室1厅,中楼层/共8层,61.17,暂无数据/其他,68.0,延安北巷9号,云岩区,东南,无,2021年12月18日 ,普通住宅 ,11117
8室3厅,高楼层/共14层,242.37,暂无数据/其他,180.0,蒙特卡尼,云岩区,东南北,有,2021年12月18日 ,普通住宅 ,7427
3室2厅,中楼层/共32层,83,暂无数据/精装,78.0,万科悦城,云岩区,南,有,2021年12月18日 ,普通住宅 ,9398
2室1厅,高楼层/共45层,66,平层/精装,46.0,花果园X区,云岩区,西,有,2021年12月18日 ,普通住宅 ,6970
1室1厅,中楼层/共8层,32,平层/其他,31.8,四川巷,云岩区,东南,无,2021年12月18日 ,普通住宅 ,9938
3室2厅,高楼层/共8层,103.68,暂无数据/其他,75.0,银通山庄千禧园,云岩区,东,无,2021年12月18日 ,普通住宅 ,7234
2室1厅,高楼层/共9层,64,平层/精装,45.0,栖霞小区,云岩区,东南,无,2021年12月18日 ,普通住宅 ,7032
