职位名称,基本信息,公司名称,公司类型,公司规模,公司性质,公司福利,薪资,发布日期,职位详情页
ERP运维工程师,深圳|3-4年经验|大专|招若干人,深圳日上光电有限公司,电子技术/半导体/集成电路,500-1000人,上市公司,五险一金 提供住宿 节日福利 晋升通道 带薪年假 专业培训 加班补贴 通讯补贴,1-1.5万/月,11-26,https://jobs.51job.com/shenzhen/135820240.html?s=sou_sou_soulb&t=0_0
数据分析师（包餐）,深圳-南山区|2年经验|大专|招1人,深圳市睿服科技有限公司,计算机软件,1000-5000人,民营公司,五险一金 补充医疗保险 绩效奖金 弹性工作 年终奖金 周末双休 一档社保 每年多次调薪,1-1.2万/月,11-26,https://jobs.51job.com/shenzhen-nsq/136506535.html?s=sou_sou_soulb&t=0_0
报表开发工程师,深圳-南山区|5-7年经验|大专|招1人,深圳市睿服科技有限公司,计算机软件,1000-5000人,民营公司,五险一金 补充医疗保险 绩效奖金 弹性工作 年终奖金 周末双休 一档社保 每年多次调薪,1.8-2.2万/月,11-26,https://jobs.51job.com/shenzhen-nsq/136482430.html?s=sou_sou_soulb&t=0_0
初中教师（数据分析师助理）,深圳-龙岗区|无需经验|大专|招6人,深圳大头猫云科技有限公司,计算机软件,,民营公司,五险一金,1.2-2万/月,11-26,https://jobs.51job.com/shenzhen-lgq/136130425.html?s=sou_sou_soulb&t=0_0
房地产销售（包住）,深圳-南山区|无需经验|大专|招20人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-26,https://jobs.51job.com/shenzhen-nsq/131764611.html?s=sou_sou_soulb&t=0_0
房地产销售（本科包住）,深圳-南山区|无需经验|本科|招20人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-26,https://jobs.51job.com/shenzhen-nsq/131715097.html?s=sou_sou_soulb&t=0_0
房地产置业顾问（可住宿/房补+无经验者有培训）,深圳-宝安区|无需经验|本科|招20人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-26,https://jobs.51job.com/shenzhen-baq/131678704.html?s=sou_sou_soulb&t=0_0
房地产销售（包住）,深圳-南山区|无需经验|大专|招6人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-26,https://jobs.51job.com/shenzhen-nsq/132877885.html?s=sou_sou_soulb&t=0_0
房地产销售（包住）,深圳-龙岗区|无需经验|大专|招20人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-26,https://jobs.51job.com/shenzhen-lgq/132545339.html?s=sou_sou_soulb&t=0_0
数据产品经理,深圳-罗湖区|3-4年经验|本科|招1人,深圳市零成本科技股份有限公司,奢侈品/收藏品/工艺品/珠宝,150-500人,民营公司,五险一金 年终奖金 专业培训 弹性工作,2-3万/月,11-26,https://jobs.51job.com/shenzhen-lhq/133604316.html?s=sou_sou_soulb&t=0_0
房地产销售（本科包住）,深圳-龙华区|无需经验|大专|招15人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-26,https://jobs.51job.com/shenzhen-lhq/132463537.html?s=sou_sou_soulb&t=0_0
销售代表/6000无责/包住宿,深圳-南山区|无需经验|本科|招10人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 加班补贴 专业培训,1-1.5万/月,11-26,https://jobs.51job.com/shenzhen-nsq/130542149.html?s=sou_sou_soulb&t=0_0
百万经纪人/底薪8000/包住宿,深圳-宝安区|无需经验|大专|招10人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 包吃 加班补贴,1-1.5万/月,11-26,https://jobs.51job.com/shenzhen-baq/130215618.html?s=sou_sou_soulb&t=0_0
店长,深圳-福田区|无需经验|大专|招若干人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 加班补贴 专业培训,1-1.5万/月,11-26,https://jobs.51job.com/shenzhen-ftq/130150055.html?s=sou_sou_soulb&t=0_0
销售代表/6000无责/包住宿/提供资源,深圳-福田区|无需经验|大专|招10人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 加班补贴 专业培训,1-1.5万/月,11-26,https://jobs.51job.com/shenzhen-ftq/130092502.html?s=sou_sou_soulb&t=0_0
