candle_end_time,open,high,low,close,amount,ÕÇµø·ù
2005-12-31,984.66,1008.73,807.78,923.45,2333273455.0,-0.06216358946235245
2006-12-31,926.56,2052.86,926.41,2041.05,8016626200.0,1.2028255050941117
2007-12-31,2073.25,5891.72,2030.76,5338.27,16263846900.0,1.5748317858434828
2008-12-31,5349.76,5756.92,1606.73,1817.72,10385136100.0,-0.660224010049049
2009-12-31,1848.33,3803.06,1837.84,3575.684,22174036791.0,0.9345484843074561
2010-12-31,3592.468,3597.75,2462.2,3128.26,16388441630.0,-0.12921701738192226
2011-12-31,3155.56,3380.53,2267.11,2345.74,13121447610.0,-0.25663273713699
2012-12-31,2361.5,2717.82,2102.14,2522.95,11264775001.0,0.06836756298962521
2013-12-31,2551.81,2791.3,2023.17,2330.03,17174784228.0,-0.08691085935081366
2014-12-31,2323.43,3542.34,2077.76,3533.71,29219569897.0,0.5209022867054314
2015-12-31,3566.09,5380.43,2952.01,3731.0,70943913210.0,0.046243925419717336
2016-12-31,3725.86,3726.24,2821.21,3310.08,25895504906.0,-0.11159302818678107
2017-12-31,3313.95,4260.64,3264.21,4030.85,26492388467.0,0.2163279470118742
2018-12-31,4045.21,4403.34,2964.88,3010.65,23404827732.0,-0.2557493924913663
2019-12-31,3017.07,4126.09,2935.83,4096.58,29591277613.0,0.3578007802271739
2020-12-31,4121.35,5215.62,3503.19,5211.29,36977612876.0,0.2644618874883229
2021-12-31,5212.93,5930.91,4663.9,4928.02,33389096293.0,-0.05465448413847873
