本数据由邢不行整理,,,,,,,,,,,,,,
基金代码,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
162209.OF,-0.578746746,0.74575149,0.068647282,-0.247249497,0.113311331,0.182806324,0.088077336,0.155423933,-0.317638124,0.221897607,-0.315723557,0.65374376,0.600060368,-0.086462
160910.OF,-0.577677225,0.6875,0.044444444,-0.300911854,0.110144927,-0.026109661,0.306970509,0.226666667,-0.200668896,0.283924023,-0.17679407,0.356562137,0.36407486,0.032095
040007.OF,-0.576816347,0.843070045,0.016899814,-0.298346056,0.034111514,-0.011616438,0.246923162,0.588831585,-0.137620327,-0.001038354,-0.24095368,0.575059911,0.526218551,0.136504
510081.OF,-0.575776169,0.811259864,0.060196027,-0.201106943,-0.043124582,0.195178759,0.2335244,0.376321596,-0.179358432,0.104514256,-0.256318975,0.336328889,0.628843733,0.110844
163503.OF,-0.573144341,0.505956908,0.012792459,-0.251786605,0.117281208,0.163817097,0.178168773,0.335066048,-0.294455379,0.076840293,-0.27803318,0.326688815,0.468071786,0.105473
375010.OF,-0.572489328,0.807958035,-0.034709248,-0.257589051,0.071259749,-0.182018753,0.28779501,0.360194785,-0.235188345,0.261895202,-0.370774004,0.577876106,0.700982676,0.29278
400001.OF,-0.572211565,0.401238522,0.023011277,-0.083867123,0.121788618,-0.022032179,0.316881577,0.643106359,-0.096074588,-0.044912411,-0.250829268,0.369970048,0.606844106,-0.073237
400003.OF,-0.56875,1.008093356,-0.009935327,-0.145507905,0.11522269,0.032286906,0.189779617,0.587236108,-0.145339652,-0.041380955,-0.294395721,0.257845557,0.529119069,-0.084009
560003.OF,-0.568344194,0.738450346,0.012031806,-0.218132947,-0.106174798,0.15739645,0.265720859,0.117843078,-0.226829268,0.004322935,-0.225453699,0.356263142,0.789258029,-0.04153
377016.OF,-0.568207441,0.584856397,0.140032949,-0.268786127,0.148221344,-0.006884682,0.006932409,-0.025817556,0.074204947,0.315789474,-0.1375,0.243478261,0.277389277,-0.082482
570001.OF,-0.566200885,0.618242705,-0.020398108,-0.208832109,0.043102352,0.024378352,0.215254641,0.434544208,-0.105385298,0.41840238,-0.224732397,0.271983897,1.3260367,0.025748
320005.OF,-0.565619224,0.788899167,0.002792429,-0.226794554,-0.046685341,0.023926123,0.369909811,0.180548628,-0.020954795,-0.013722275,-0.224011201,0.358141633,0.489289273,0.027374
