,球队名,比赛时间,主队,得分情况,客队
0,四川,2021-10-16 15:00,青岛,"
								100:93
								",四川
1,四川,2021-10-20 19:35,四川,"
								84:118
								",上海
2,四川,2021-10-22 15:00,福建,"
								80:101
								",四川
3,四川,2021-10-24 15:00,四川,"
								66:101
								",北京
4,四川,2021-10-26 15:30,广东,"
								111:108
								",四川
5,四川,2021-10-28 11:00,四川,"
								96:94
								",天津
6,四川,2021-10-31 20:00,深圳,"
								126:107
								",四川
7,四川,2021-11-02 20:00,江苏,"
								97:94
								",四川
8,四川,2021-11-04 20:00,四川,"
								78:104
								",浙江
9,四川,2021-11-07 11:00,四川,"
								96:125
								",深圳
10,四川,2021-11-09 11:00,上海,"
								115:97
								",四川
11,四川,2021-11-11 20:00,四川,"
								100:90
								",福建
12,四川,2021-11-13 19:35,浙江,"
								111:81
								",四川
13,同曦,2021-10-16 12:30,吉林,"
								91:79
								",同曦
14,同曦,2021-10-20 19:35,同曦,"
								90:108
								",广厦
15,同曦,2021-10-22 19:35,宁波,"
								73:97
								",同曦
16,同曦,2021-10-24 11:00,同曦,"
								90:102
								",山东
17,同曦,2021-10-26 15:00,广州,"
								100:88
								",同曦
18,同曦,2021-10-28 11:00,辽宁,"
								114:103
								",同曦
19,同曦,2021-10-30 15:00,同曦,"
								101:108
								",北控
20,同曦,2021-11-01 19:35,山东,"
								107:89
								",同曦
21,同曦,2021-11-05 15:30,新疆,"
								92:86
								",同曦
22,同曦,2021-11-07 11:00,同曦,"
								101:115
								",广州
23,同曦,2021-11-09 15:30,北控,"
								101:80
								",同曦
24,同曦,2021-11-11 20:00,同曦,"
								90:122
								",山西
25,同曦,2021-11-13 15:00,同曦,"
								92:108
								",宁波
26,北控,2021-10-16 16:30,北控,"
								93:105
								",山东
27,北控,2021-10-18 19:35,吉林,"
								73:93
								",北控
28,北控,2021-10-21 11:00,广州,"
								102:98
								",北控
29,北控,2021-10-23 19:35,北控,"
								116:105
								",新疆
30,北控,2021-10-25 19:35,北控,"
								97:102
								",山西
31,北控,2021-10-28 20:00,山东,"
								95:105
								",北控
32,北控,2021-10-30 15:00,同曦,"
								101:108
								",北控
33,北控,2021-11-03 19:35,北控,"
								74:101
								",广厦
34,北控,2021-11-05 11:00,北控,"
								95:79
								",宁波
35,北控,2021-11-07 20:00,新疆,"
								84:91
								",北控
36,北控,2021-11-09 15:30,北控,"
								101:80
								",同曦
37,北控,2021-11-11 11:00,辽宁,"
								97:86
								",北控
38,北控,2021-11-13 15:00,山西,"
								105:94
								",北控
39,吉林,2021-10-16 12:30,吉林,"
								91:79
								",同曦
40,吉林,2021-10-18 19:35,吉林,"
								73:93
								",北控
41,吉林,2021-10-21 20:00,辽宁,"
								103:88
								",吉林
42,吉林,2021-10-24 15:30,吉林,"
								111:86
								",宁波
43,吉林,2021-10-26 19:35,山东,"
								93:87
								",吉林
44,吉林,2021-10-29 15:00,广厦,"
								102:92
								",吉林
45,吉林,2021-10-31 11:00,吉林,"
								94:95
